IDCARNET_ACTIVITE;IDPERSONNEL;IDOFFRES;SEMAINE;DATE_CONTRAT;TEMPS_EXTER;TEMPS_BUREAU;KILOMETRAGES;REFERENCE;MONTANT;TRANSPORT;KMTRANSPORT;NBRETRANSPORT;JUSTIFTRANS;MTTRANSPORT;PERDIEM;NBREPERDIEM;DERNIERJOUR;JUSTIFPERDIEM;FRAISDIVERS;JUSTIFDIVERS;MTFRAISDIVERS;AVANCES;MT_LOCATION;NBREPAS;NBRENUITE;JUSTIFREPAS;JUSTIFNUITE;JUSTIFDEMARCHES;VISAING;VISARES
4134;37;483;38;23/09/2011;;;;;0,000000;Voiture;52;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"ALPAGES-MADS-SENTHRAS-DATOU SALAM-
SEBTPA-EGMBTV-EGCD-SUNEOR-AGETIP-ETK-
ALPAGES";1;0
4135;37;483;39;26/09/2011;;;;;0,000000;Voiture;65;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;ALPAGES-SOCOCIM-EKSBS-SSBS-ALPAGES;1;0
4136;37;483;39;27/09/2011;;;;;0,000000;Voiture;50;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"ALPAGES-CSTI-ETPA-SENICOM-SENEPRES-KFE-
AGETIP-BHS-ECAV-ALPAGES";1;0
4137;37;483;39;28/09/2011;;;;;0,000000;Voiture;57;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"ALPAGES-OBS-SVTP-SUNEOR-ICS-SENTC-ETPE-
IFACE-ALPAGES";1;0
4138;37;483;39;29/09/2011;;;;;0,000000;Voiture;53;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"ALPAGES-BENJA-GTA-ETK-COSEMAD-ECAV-KFE-
EKSBS-DMI-OMNIBAT-KHARAFI-ALPAGES";1;0
4139;37;483;39;30/09/2011;;;;;0,000000;Voiture;42;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;"ALPAGES-SICAP-BENJA-SUNEOR-SOGECAM-LR
PROMO-GAU-ALPAGES";1;0
4140;36;2627;40;03/10/2011;;;;;0,000000;Forfaits d‚placements;0;1;R‚ception ferraillage longrines restantes(voir PV);0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4141;36;1737;40;03/10/2011;;;;;0,000000;Forfaits d‚placements;0;1;R‚ception ferraillage poutres PH 8e ‚tage;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4142;28;482;35;01/09/2011;;;;;0,000000;Voiture;380;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;Demarches commerciales et recouvrement … Touba;1;0
4143;28;2805;36;05/09/2011;;;;;0,000000;Voiture;30;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4144;28;481;37;12/09/2011;;;;;0,000000;Voiture;350;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;Touba mat‚riaux pour r‚union sur sinitre Stade Bakel;1;0
4145;28;481;37;12/09/2011;;;;;0,000000;Voiture;87;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;DIAGNOSTIC COCHAPEC … Kounoune;1;0
